,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
537,Fernando IV,Monumento de la ciudad de Madrid,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,135,1
538,Fernando V El Católico,Monumento de la ciudad de Madrid, ,36 - Plaza Ramales,Plaza de Ramales,1,439,5
539,Fernando VI,Monumento de la ciudad de Madrid,Pza Villa de París ,26 - Plaza de las Salesas,"Plaza de las Salesas 7,",6,198,2
540,Fernando de Castro,Monumento de la ciudad de Madrid,C Arenal 16,25b - Plaza de Celenque B,Plaza de Celenque nº 1,1,125,1
541,Fernán González 1er Conde Independiente de Castilla,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,211,2
542,Fernández Caballero Manuel,Monumento de la ciudad de Madrid,C Cervantes 34,27 - Huertas,Calle Jesús nº 1,4,127,1
543,Fernández Valliciergo Vicente,Monumento de la ciudad de Madrid,C Ballesta 7,211 - Desengaño,Calle Desengaño nº 1,1,173,2
544,Figura femenina,Monumento de la ciudad de Madrid,Trav Felipe de Diego 20,"417 - Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",17,255,3
545,Fisicromía para Madrid,Monumento de la ciudad de Madrid,PARQUE JUAN CARLOS I 1,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1458,18
546,Florestán Aguilar,Monumento de la ciudad de Madrid,C Florestán Aguilar 1,192 - Avenida de los Toreros,Avenida de los Toreros nº 3,2,187,2
547,Fofó,Monumento de la ciudad de Madrid,PARQUE ATRACCIONES CASA CAMPO ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,772,9
548,Fomento,Monumento de la ciudad de Madrid,PASEO CASTELLANA 67,136 - Castellana 106,Paseo de la Castellana nº 106,1,168,2
549,Fontines del jardín de los Planteles del Retiro,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
550,Foro-patio del parque Clara Eugenia,Monumento de la ciudad de Madrid, ,"524 - Glorieta Luis Rosales, sn","Glorieta Luis Rosales, sn,",1,986,12
551,Fortuna,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 137,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7,276,3
552,Fosa enterramiento,Monumento de la ciudad de Madrid,CALLE FRANCISCO Y JACINTO ALCANTARA 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,584,7
553,Francisco Alcántara,Monumento de la ciudad de Madrid,CALLE FRANCISCO Y JACINTO ALCANTARA 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,584,7
554,Francisco Alonso,Monumento de la ciudad de Madrid,CALLE ALCALA 1,33 - Carretas,Calle Carretas nº 8,1,122,1
555,Francisco Fatou,Monumento de la ciudad de Madrid,Cmno Suerte 23,"438 - Calle Enrique Garcia Alvarez, 5","Calle Enrique Garcia Alvarez, 5,",4,680,8
556,Francisco Javier,Monumento de la ciudad de Madrid,CALLE MARTIRES DE LA VENTILLA 34,248 - Torre Cepsa,Calle Sinesio Delgado nº 2,2,559,6
557,Francisco Largo Caballero,Monumento de la ciudad de Madrid,C Francisco Largo Caballero ,"492 - Fernando Gabriel , 5","Fernando Gabriel , 5,",3,150,1
558,Francisco Largo Caballero,Monumento de la ciudad de Madrid,PASEO CASTELLANA 1,104 - Castellana,Paseo de la Castellana nº 4,1,160,2
559,Francisco Largo Caballero,Monumento de la ciudad de Madrid,PLAZA CHAMBERI 4,124 - Manuel Silvela,Calle Manuel Silvela nº 20,1,341,4
560,Francisco Navarro Ledesma,Monumento de la ciudad de Madrid,C Serrano 72,105 - Serrano,Calle Serrano nº 54,2,353,4
561,Francisco Palau y Quer,Monumento de la ciudad de Madrid,CALLE PADRE FRANCISCO PALAU Y QUER 1,248 - Torre Cepsa,Calle Sinesio Delgado nº 2,2,176,2
562,Francisco Piquer,Monumento de la ciudad de Madrid,Pza Descalzas ,25a - Plaza de Celenque A,Plaza de Celenque nº 1,1,71,0
563,Francisco Pizarro,Monumento de la ciudad de Madrid,PASEO CASTELLANA 140,149 - Paseo de la Habana 42,"Paseo de la Habana nº 42,",10,305,3
564,Francisco Tomás y Valiente,Monumento de la ciudad de Madrid,CALLE DOMENICO SCARLATTI 6,244 - Hospital Clínico,Calle Isaac Peral nº 44,3,159,1
565,Francisco Villaespesa,Monumento de la ciudad de Madrid,CALLE GALILEO 12,123 - Guzmán el Bueno,"Calle Guzmán el Bueno nº 1,",1,337,4
566,Francisco de Asis de Borbón,Monumento de la ciudad de Madrid,PASEO VIRGEN DEL PUERTO 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,445,5
569,Francisco de Goya,Monumento de la ciudad de Madrid,Pº Ermita del Santo ,"351 - Calle Comandante Fontanes, 1","Calle Comandante Fontanes, 1,",5,656,8
567,Francisco de Goya,Monumento de la ciudad de Madrid,C Alcalá ,98 - Plaza de Felipe II,Plaza de Felipe II,1,120,1
568,Francisco de Goya,Monumento de la ciudad de Madrid,Gta San Antonio de la Florida ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,521,6
570,Francisco de Paula Martí Mora,Monumento de la ciudad de Madrid,Pº El Salvador ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,211,2
571,Francisco de Quevedo y Villegas,Monumento de la ciudad de Madrid,C Huertas 43,41 - Antón Martín,Calle Atocha nº 54,1,190,2
572,Francisco de Quevedo y Villegas,Monumento de la ciudad de Madrid,C Lope de Vega 17,41 - Antón Martín,Calle Atocha nº 54,1,235,2
573,Francisco de Quevedo y Villegas,Monumento de la ciudad de Madrid,GLORIETA QUEVEDO 1,200 - Quevedo,Glorieta de Quevedo nº 5,4,80,1
574,Frascuelo,Monumento de la ciudad de Madrid,C Arenal 22,25b - Plaza de Celenque B,Plaza de Celenque nº 1,1,139,1
575,Frases en pavimento urbano eje Museo del Prado- Palacio de Oriente,Monumento de la ciudad de Madrid,Pza Ángel 9,36 - Plaza Ramales,Plaza de Ramales,1,91,1
576,Fray Francisco Cabezas,Monumento de la ciudad de Madrid,Pza San Francisco el Grande 1,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,3,17,0
579,Fray Pedro Ponce de León,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,254,3
577,Fray Pedro Ponce de León,Monumento de la ciudad de Madrid,AVENIDA CANILLEJAS A VICALVARO 82,"504 - Calle de San Roman del Valle, 20","Calle de San Roman del Valle, 20,",3,1321,16
578,Fray Pedro Ponce de León,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 6,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,392,4
580,Fuente Amanecer,Monumento de la ciudad de Madrid,Pza Amanecer en Méndez Álvaro ,119 - Méndez Álvaro,Calle Méndez Álvaro nº 11,2,304,3
581,"Fuente Blanca, cascada y estanque bajo del jardín del duque del Arco",Monumento de la ciudad de Madrid,MONTE EL PARDO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,12287,153
582,Fuente Carlos Jiménez Díaz,Monumento de la ciudad de Madrid,PLAZA CRISTO REY 1,244 - Hospital Clínico,Calle Isaac Peral nº 44,3,147,1
583,Fuente Casa de Campo,Monumento de la ciudad de Madrid, ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,361,4
584,Fuente Cascada-Reloj Noria,Monumento de la ciudad de Madrid,CALLE SINESIO DELGADO 40,"571 - Calle Melchor Fernandez Almagro, 80","Calle Melchor Fernandez Almagro, 80,",6,540,6
585,Fuente Cupido dormido,Monumento de la ciudad de Madrid, ,261 - Facultad Derecho,Avenida Complutense nº 23,2,3281,41
586,Fuente Egipcia,Monumento de la ciudad de Madrid,Pº Venezuela ,102 - Velázquez,Calle Alcalá nº 95,1,610,7
587,Fuente Francisco Largo Caballero,Monumento de la ciudad de Madrid,C Francisco Largo Caballero ,"490 - Hermanos Garcia Noblejas, 158","Hermanos Garcia Noblejas, 158,",8,29,0
588,Fuente Grande de Arganzuela,Monumento de la ciudad de Madrid,Pº Yeserías ,174 - Madrid Río-Yeserías,"Paseo de Yeserías nº 45,",7,227,2
589,Fuente Géminis,Monumento de la ciudad de Madrid,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 34,133 - Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,2,255,3
590,Fuente Meseta de Orcasitas,Monumento de la ciudad de Madrid,Avda Rafaela Ybarra 101,"386 - Avenida de los Poblados, 130","Avenida de los Poblados, 130,",3,340,4
591,Fuente Miguel de Cervantes,Monumento de la ciudad de Madrid,Pza España ,116a - Plaza de España A,Calle Princesa nº 5,3,76,0
592,Fuente Pablo Neruda I,Monumento de la ciudad de Madrid,Avda Pablo Neruda 112,"433 - Calle de Villalobos, 28","Calle de Villalobos, 28,",3,38,0
593,Fuente Pablo Neruda II,Monumento de la ciudad de Madrid,AVENIDA PABLO NERUDA 114,"433 - Calle de Villalobos, 28","Calle de Villalobos, 28,",3,87,1
594,Fuente Paraíso,Monumento de la ciudad de Madrid,C Albaida 82,"496 - Calle Cronos , 14","Calle Cronos , 14,",5,801,10
595,Fuente Pavones,Monumento de la ciudad de Madrid, ,"455 - Luis de Hoyos Sainz, 198","Luis de Hoyos Sainz, 198,",19,522,6
596,Fuente Pilar Lorengar,Monumento de la ciudad de Madrid,C Pilar Lorengar 19,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,1977,24
597,Fuente Pilar Miró,Monumento de la ciudad de Madrid,Gta Pilar Miró ,"480 - Vicente Muzas, 12","Vicente Muzas, 12,",5,542,6
598,Fuente Pinar de Chamartín,Monumento de la ciudad de Madrid,C Arturo Soria 348,"525 - Calle de Bacares, 20","Calle de Bacares, 20,",5,715,8
599,Fuente Pirala I,Monumento de la ciudad de Madrid,Pº Pirala ,188 - Puente de Ventas,Avenida de Daroca nº 2,3,73,0
600,Fuente Pirala II,Monumento de la ciudad de Madrid,Pº Pirala ,188 - Puente de Ventas,Avenida de Daroca nº 2,3,127,1
601,Fuente Pirámides,Monumento de la ciudad de Madrid,Gta Pirámides ,169 - Pirámides,Calle Toledo nº 181,2,99,1
602,Fuente Platerías Martínez,Monumento de la ciudad de Madrid,Pza Platería de Martínez ,27 - Huertas,Calle Jesús nº 1,4,192,2
603,Fuente Plaza Alosno,Monumento de la ciudad de Madrid,PLAZA ALOSNO 4,"455 - Luis de Hoyos Sainz, 198","Luis de Hoyos Sainz, 198,",19,1567,19
604,Fuente Plaza de Castilla,Monumento de la ciudad de Madrid,PLAZA CASTILLA 1,209 - Plaza de Castilla 2,"Paseo Castellana (Fundación Canal),",7,157,1
605,Fuente Poliedros Maclados en el Cubo,Monumento de la ciudad de Madrid,C Castillo de Uclés 36,"505 - Calle Castillo de Ucles, 37","Calle Castillo de Ucles, 37,",3,30,0
606,Fuente Primavera Rosaleda,Monumento de la ciudad de Madrid,CALLE ROSALEDA 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,486,6
607,Fuente Ricardo Ortiz,Monumento de la ciudad de Madrid,C Ricardo Ortiz 2,188 - Puente de Ventas,Avenida de Daroca nº 2,3,174,2
608,Fuente Rosaleda Norte,Monumento de la ciudad de Madrid,C Rosaleda ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,561,7
609,Fuente Rosaleda Sur,Monumento de la ciudad de Madrid,C Rosaleda ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,457,5
610,Fuente San Cipriano,Monumento de la ciudad de Madrid,CALLE LAGO SANABRIA 1,"455 - Luis de Hoyos Sainz, 198","Luis de Hoyos Sainz, 198,",19,2320,29
611,Fuente San Juan de Dios,Monumento de la ciudad de Madrid,C López de Hoyos 259,"480 - Vicente Muzas, 12","Vicente Muzas, 12,",5,273,3
612,Fuente Sandro Pertini,Monumento de la ciudad de Madrid,Gta Sandro Pertini ,"523 - Calle de la Carretera de Canillas, 40","Calle de la Carretera de Canillas, 40,",14,1185,14
613,Fuente Santa Eugenia,Monumento de la ciudad de Madrid,Avda Santa Eugenia ,"438 - Calle Enrique Garcia Alvarez, 5","Calle Enrique Garcia Alvarez, 5,",4,994,12
614,Fuente Santa María de la Cabeza,Monumento de la ciudad de Madrid,Gta Santa María de la Cabeza ,121 - Santa María de la Cabeza,"Paseo de Santa María de la Cabeza nº 58,",3,99,1
615,Fuente Sena I,Monumento de la ciudad de Madrid,C Ribera del Sena ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1856,23
616,Fuente Sena II,Monumento de la ciudad de Madrid,C Ribera del Sena ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1823,22
617,Fuente Sepúlveda I,Monumento de la ciudad de Madrid,Pq Cuña Verde ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1264,15
618,Fuente Sepúlveda II,Monumento de la ciudad de Madrid,Pq Cuña Verde ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1294,16
619,Fuente Valle de oro,Monumento de la ciudad de Madrid,C General Ricardos ,"352 - Calle Algorta, 2","Calle Algorta, 2,",3,627,7
620,Fuente Valpalomero,Monumento de la ciudad de Madrid,Avda Palacio ,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,8457,105
621,Fuente Virgen Guadalupana,Monumento de la ciudad de Madrid,PLAZA VIRGEN GUADALUPANA ,197 - Parque Berlín,"Avenida de Concha Espina nº 34,",10,375,4
622,Fuente Virgen de la Alegría,Monumento de la ciudad de Madrid,C Virgen de la Alegría 15,188 - Puente de Ventas,Avenida de Daroca nº 2,3,201,2
623,Fuente Vía Lusitana,Monumento de la ciudad de Madrid,Avda Vía Lusitana ,"390 - Calle de la Avena, 10","Calle de la Avena, 10,",2,2016,25
624,Fuente Yebenes,Monumento de la ciudad de Madrid, ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,1286,16
625,Fuente Yebenes II,Monumento de la ciudad de Madrid,C Yébenes 145,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,1418,17
626,Fuente baja del parque Enrique Tierno Galván,Monumento de la ciudad de Madrid, ,"269 - Calle Ariel, 7","Calle Ariel, 7,",3,583,7
627,Fuente cascada del Museo al aire libre,Monumento de la ciudad de Madrid,Pº Castellana 41,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,393,4
628,Fuente cibernética D. Juan de Bórbón,Monumento de la ciudad de Madrid,Gta Su Alteza Real Don Juan de Borbón y Battemberg ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1593,19
629,Fuente cibernética del Auditorio del parque Juan Carlos I,Monumento de la ciudad de Madrid,AUDITORIO JUAN CARLOS I ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,925,11
630,Fuente circular I del parque de Pradolongo,Monumento de la ciudad de Madrid, ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,109,1
631,Fuente circular II del parque de Pradolongo,Monumento de la ciudad de Madrid, ,"385 - Calle Campotejar , 25","Calle Campotejar , 25,",2,633,7
632,Fuente circular III del parque de Pradolongo,Monumento de la ciudad de Madrid,PARQUE PRADOLONGO ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,197,2
633,Fuente circular con escultura en El Pardo,Monumento de la ciudad de Madrid,PLAZA CAUDILLO 1,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,8924,111
634,Fuente circular de la Quinta de los Molinos,Monumento de la ciudad de Madrid,C Alcalá 527,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,203,2
635,Fuente circular del Instituto Ponce de León,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 6,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,416,5
636,Fuente circular del barrio Alameda de Osuna,Monumento de la ciudad de Madrid,C Bergantín ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,1314,16
637,Fuente circular del barrio de San Miguel,Monumento de la ciudad de Madrid,C Costa del Sol 1,"524 - Glorieta Luis Rosales, sn","Glorieta Luis Rosales, sn,",1,603,7
638,Fuente circular del parque Amós Acero,Monumento de la ciudad de Madrid, ,"418 - Calle Puerto de Arlaban, 83","Calle Puerto de Arlaban, 83,",8,311,3
639,Fuente circular del parque Eugenia de Montijo,Monumento de la ciudad de Madrid, ,"323 - Calle Gallur, 5","Calle Gallur, 5,",7,3112,38
640,Fuente circular del parque Fuente del Berro,Monumento de la ciudad de Madrid, ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,276,3
641,Fuente circular del parque María Eva Duarte de Perón,Monumento de la ciudad de Madrid, ,192 - Avenida de los Toreros,Avenida de los Toreros nº 3,2,398,4
642,Fuente circular del parque Rodríguez Sahagún,Monumento de la ciudad de Madrid,CALLE OFELIA NIETO 83,"309 - Calle Ofelia Nieto, 75","Calle Ofelia Nieto, 75,",1,70,0
643,Fuente circular del parque de Pradolongo,Monumento de la ciudad de Madrid,PARQUE PRADOLONGO ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,197,2
644,Fuente circular del parque de San Isidro,Monumento de la ciudad de Madrid,C San Isidro ,350 - Calle de Ervigio,"Calle de Ervigio,",17,392,4
645,Fuente circular en la calle Almendrales,Monumento de la ciudad de Madrid,C Almendrales ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,6,316,3
646,Fuente circular en la calle Gasómetro,Monumento de la ciudad de Madrid,Pº Doctor Vallejo Nájera s/n,163 - Paseo de la Esperanza,Paseo de la Esperanza nº 2,2,225,2
647,Fuente circular en la calle Muñoz Grandes,Monumento de la ciudad de Madrid,Paseo Marcelino Camacho 6,350 - Calle de Ervigio,"Calle de Ervigio,",17,1408,17
648,Fuente circular en la glorieta Marques de Vadillo,Monumento de la ciudad de Madrid,Gta Marqués de Vadillo ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5,121,1
649,Fuente con canal  del parque Enrique Tierno Galván II,Monumento de la ciudad de Madrid, ,"269 - Calle Ariel, 7","Calle Ariel, 7,",3,667,8
650,Fuente con canal del parque Enrique Tierno Galván I,Monumento de la ciudad de Madrid, ,"269 - Calle Ariel, 7","Calle Ariel, 7,",3,620,7
651,Fuente con cuatro tazas de la Quinta de los Molinos,Monumento de la ciudad de Madrid,C Alcalá 527,"518 - Calle Tampico, 71","Calle Tampico, 71,",10,610,7
652,Fuente con escudo de Madrid,Monumento de la ciudad de Madrid,Pº Bolivia ,102 - Velázquez,Calle Alcalá nº 95,1,279,3
653,Fuente con escultura II en el intercambiador de Aluche,Monumento de la ciudad de Madrid,C Maqueda ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2707,33
654,Fuente con escultura en el intercambiador de Aluche,Monumento de la ciudad de Madrid,AVENIDA POBLADOS 41,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2741,34
655,Fuente con escultura en la avenida de Logroño,Monumento de la ciudad de Madrid,Avda Logroño ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,2507,31
656,Fuente con escultura en la calle San Jenaro,Monumento de la ciudad de Madrid,C San Jenaro ,"385 - Calle Campotejar , 25","Calle Campotejar , 25,",2,1962,24
657,Fuente con farola en la calle General Ricardos,Monumento de la ciudad de Madrid,C General Ricardos ,"354 - Calle Jacinto Verdaguer, 12","Calle Jacinto Verdaguer, 12,",1,178,2
658,Fuente con grupo escultórico en los jardines de El Pardo,Monumento de la ciudad de Madrid, ,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,8880,111
659,Fuente con ría del parque de Moratalaz,Monumento de la ciudad de Madrid, ,219 - Marroquina,Calle Camino de los Vinateros nº 108,8,202,2
660,Fuente con surtidor del parque Fuente del Berro,Monumento de la ciudad de Madrid,PARQUE QUINTA FUENTE DEL BERRO ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,82,1
661,Fuente con taza de piedra de la Quinta de los Molinos,Monumento de la ciudad de Madrid,CALLE ALCALA 527,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,44,0
662,Fuente de Apolo,Monumento de la ciudad de Madrid,Pº Prado ,86 - Cibeles,Plaza Cibeles,2,170,2
663,Fuente de Cabestreros,Monumento de la ciudad de Madrid,C Mesón de Paredes ,43 - Jesús y María,Calle Lavapiés nº 34,2,181,2
664,Fuente de Cibeles,Monumento de la ciudad de Madrid,Pza Cibeles ,86 - Cibeles,Plaza Cibeles,2,80,1
665,Fuente de Credit Lyonnais,Monumento de la ciudad de Madrid,Pº Castellana 35,198 - Rubén Darío,Glorieta Rubén Darío 2,1,281,3
666,Fuente de Cupido de La Rosaleda,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,75 - Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",8,379,4
667,Fuente de Esteban Mora,Monumento de la ciudad de Madrid,C Esteban Mora 43,231 - Derechos Humanos,Calle Derechos Humanos nº 12,4,217,2
668,Fuente de Europa,Monumento de la ciudad de Madrid,C Fuente de Lima ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,4766,59
